Name,Market,Total Funding (USD),Status,Country Code,City,Funding Rounds,Founded At,Founded Quarter,First Funding At,Last Funding At,Seed,Venture,Angel,Grant,Round A,Round B,Round C,Round D,Round E,Startup Age,Funding Duration Days,Funding Velocity,Rounds per Year,Continent,Market Group,Total Debt (USD),Total Equity (USD)
WIV Labs, Big Data ,1000000.0,operating,KOR,Seoul,1.0,2013-09-01,2013-Q3,2013-09-09,2013-09-09,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.07692307692307693,Asia,Software & IT,0.0,0.0
WizeHive, Enterprise Software ,2580000.0,operating,USA,Conshohocken,3.0,2008-12-20,2008-Q4,2009-01-01,2013-03-21,100000.0,0.0,980000.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1540,1675.3246753246754,0.16666666666666666,North America,Software & IT,1500000.0,0.0
Wizzard Software, Software ,600000.0,operating,USA,Pittsburgh,1.0,1995-01-01,1995-Q1,2009-06-22,2009-06-22,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,inf,0.03225806451612903,North America,Software & IT,0.0,0.0
Wolfe Diversified Industries, Software ,700000.0,operating,USA,Anderson,1.0,2007-01-01,2007-Q1,2013-09-25,2013-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,inf,0.05263157894736842,North America,Software & IT,700000.0,0.0
Wombat Security Technologies, Software ,7545000.0,operating,USA,Pittsburgh,4.0,2008-01-01,2008-Q1,2011-06-29,2014-07-10,0.0,7545000.0,0.0,0.0,0.0,6730000.0,0.0,0.0,0.0,17,1107,6815.718157181572,0.2222222222222222,North America,Software & IT,0.0,0.0
WOMN, Internet ,120000.0,operating,USA,San Mateo,1.0,1992-01-01,1992-Q1,2014-07-16,2014-07-16,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,inf,0.029411764705882353,North America,Software & IT,0.0,0.0
Wonder Workshop (Formerly Play-i), Hardware + Software ,10440000.0,operating,USA,San Mateo,3.0,2012-11-01,2012-Q4,2013-05-01,2014-03-04,1000000.0,8000000.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,13,307,34006.51465798046,0.21428571428571427,North America,Software & IT,0.0,0.0
Wonderflow, Internet ,20658.0,operating,NLD,Amsterdam,1.0,2013-10-15,2013-Q4,2014-04-01,2014-04-01,20658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.07692307692307693,Europe,Software & IT,0.0,0.0
Wondershare Software, Software ,10000000.0,operating,CHN,Shenzhen,2.0,2003-10-10,2003-Q4,2009-09-01,2011-06-01,0.0,10000000.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,22,638,15673.98119122257,0.08695652173913043,Asia,Software & IT,0.0,0.0
WOO Sports, Hardware + Software ,823000.0,operating,USA,Boston,2.0,2013-06-25,2013-Q2,2013-10-08,2014-02-28,313000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,143,5755.244755244756,0.15384615384615385,North America,Software & IT,510000.0,0.0
